MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2023-09-24 18:56:20,1.17.0,RevNeutral,9,4.17,,1,Right,Left,0,1,0,0,,,0.14
2023-09-24 18:56:28,1.17.0,RevNeutral,9,4.18,,1,Right,Left,0,2,0,0,,,0.02
2023-09-24 18:57:00,1.17.0,RevNeutral,9,4.17,,1,Left,Left,1,2,0,0,,,0.05
2023-09-24 18:57:11,1.17.0,RevNeutral,9,4.17,6.0,1,Pellet,Left,1,2,1,0,0.94,,
2023-09-24 18:59:50,1.17.0,RevNeutral,9,4.17,,1,Left,Left,2,2,1,0,,,0.28
2023-09-24 19:00:21,1.17.0,RevNeutral,9,4.17,5.0,1,Pellet,Left,2,2,2,0,23.56,190.0,
2023-09-24 19:01:03,1.17.0,RevNeutral,9,4.17,,1,Right,Left,2,3,2,0,,,0.32
2023-09-24 19:01:08,1.17.0,RevNeutral,9,4.17,,1,Right,Left,2,4,2,0,,,1.7
2023-09-24 19:01:09,1.17.0,RevNeutral,9,4.17,,1,Right,Left,2,5,2,0,,,0.73
2023-09-24 19:01:15,1.17.0,RevNeutral,9,4.18,,1,Right,Left,2,6,2,0,,,0.16
2023-09-24 19:07:27,1.17.0,RevNeutral,9,4.16,,1,Left,Left,3,6,2,0,,,0.12
2023-09-24 19:07:33,1.17.0,RevNeutral,9,4.17,3.0,1,Pellet,Left,3,6,3,0,2.27,433.0,
2023-09-24 19:07:58,1.17.0,RevNeutral,9,4.17,,1,Left,Left,4,6,3,0,,,0.17
2023-09-24 19:08:00,1.17.0,RevNeutral,9,4.17,2.0,1,Pellet,Left,4,6,4,0,1.26,27.0,
2023-09-24 19:08:34,1.17.0,RevNeutral,9,4.17,,1,Left,Left,5,6,4,0,,,1.16
2023-09-24 19:43:50,1.17.0,RevNeutral,9,4.17,1.0,1,Pellet,Left,5,6,5,0,Timed_out,2149.0,
2023-09-24 19:44:10,1.17.0,RevNeutral,9,4.17,,1,Left,Left,6,6,5,0,,,0.21
2023-09-24 19:44:15,1.17.0,RevNeutral,9,4.16,3.0,1,Pellet,Left,6,6,6,0,0.56,26.0,
2023-09-24 19:44:40,1.17.0,RevNeutral,9,4.17,,1,Left,Left,7,6,6,0,,,0.1
2023-09-24 19:44:41,1.17.0,RevNeutral,9,4.17,2.0,1,Pellet,Left,7,6,7,0,0.63,26.0,
2023-09-24 19:45:05,1.17.0,RevNeutral,9,4.17,,1,Left,Left,8,6,7,0,,,0.03
2023-09-24 19:45:16,1.17.0,RevNeutral,9,4.17,6.0,1,Pellet,Left,8,6,8,0,0.75,35.0,
2023-09-24 19:45:37,1.17.0,RevNeutral,9,4.17,,1,Left,Left,9,6,8,0,,,0.05
2023-09-24 19:45:40,1.17.0,RevNeutral,9,4.17,2.0,1,Pellet,Left,9,6,9,0,0.50,24.0,
2023-09-24 19:46:02,1.17.0,RevNeutral,9,4.17,,1,Left,Left,10,6,9,0,,,0.08
2023-09-24 19:46:07,1.17.0,RevNeutral,9,4.17,3.0,1,Pellet,Left,10,6,10,0,0.50,27.0,
2023-09-24 20:10:49,1.17.0,RevNeutral,9,4.17,,1,Left,Left,11,6,10,0,,,0.14
2023-09-24 20:10:54,1.17.0,RevNeutral,9,4.17,2.0,1,Pellet,Left,11,6,11,0,2.08,1486.0,
2023-09-24 20:11:13,1.17.0,RevNeutral,9,4.17,,1,Left,Left,12,6,11,0,,,0.07
2023-09-24 20:11:14,1.17.0,RevNeutral,9,4.17,1.0,1,Pellet,Left,12,6,12,0,0.37,21.0,
2023-09-24 20:19:07,1.17.0,RevNeutral,9,4.16,,1,Left,Left,13,6,12,0,,,0.2
2023-09-24 20:19:09,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Left,13,6,13,0,0.82,475.0,
2023-09-24 20:19:33,1.17.0,RevNeutral,9,4.17,,1,Left,Left,14,6,13,0,,,0.33
2023-09-24 20:19:34,1.17.0,RevNeutral,9,4.16,2.0,1,Pellet,Left,14,6,14,0,0.18,25.0,
2023-09-24 20:34:55,1.17.0,RevNeutral,9,4.17,,1,Left,Left,15,6,14,0,,,0.07
2023-09-24 20:34:59,1.17.0,RevNeutral,9,4.17,3.0,1,Pellet,Left,15,6,15,0,0.31,925.0,
2023-09-24 20:35:17,1.17.0,RevNeutral,9,4.16,,1,Left,Left,16,6,15,0,,,0.08
2023-09-24 20:35:19,1.17.0,RevNeutral,9,4.17,2.0,1,Pellet,Left,16,6,16,0,0.25,20.0,
2023-09-24 20:46:46,1.17.0,RevNeutral,9,4.16,,1,Left,Left,17,6,16,0,,,0.03
2023-09-24 20:48:19,1.17.0,RevNeutral,9,4.16,2.0,1,Pellet,Left,17,6,17,0,Timed_out,780.0,
2023-09-24 20:48:51,1.17.0,RevNeutral,9,4.17,,1,Right,Left,17,7,17,0,,,0.52
2023-09-24 20:48:53,1.17.0,RevNeutral,9,4.16,,1,Right,Left,17,8,17,0,,,0.29
2023-09-24 20:48:55,1.17.0,RevNeutral,9,4.17,,1,Right,Left,17,9,17,0,,,0.23
2023-09-24 20:52:28,1.17.0,RevNeutral,9,4.16,,1,Left,Left,18,9,17,0,,,0.15
2023-09-24 20:53:19,1.17.0,RevNeutral,9,4.17,2.0,1,Pellet,Left,18,9,18,0,49.16,300.0,
2023-09-24 20:54:16,1.17.0,RevNeutral,9,4.16,,1,Left,Left,19,9,18,0,,,0.2
2023-09-24 20:54:22,1.17.0,RevNeutral,9,4.16,2.0,1,Pellet,Left,19,9,19,0,3.29,63.0,
2023-09-24 20:57:38,1.17.0,RevNeutral,9,4.16,,1,Left,Left,20,9,19,0,,,0.33
2023-09-24 20:57:47,1.17.0,RevNeutral,9,4.16,5.0,1,Pellet,Left,20,9,20,0,0.06,205.0,
2023-09-24 20:58:03,1.17.0,RevNeutral,9,4.16,,1,Left,Left,21,9,20,0,,,0.28
2023-09-24 20:58:08,1.17.0,RevNeutral,9,4.17,3.0,1,Pellet,Left,21,9,21,0,1.89,21.0,
2023-09-24 20:58:52,1.17.0,RevNeutral,9,4.16,,1,Right,Left,21,10,21,0,,,0.1
2023-09-24 20:59:27,1.17.0,RevNeutral,9,4.17,,1,Right,Left,21,11,21,0,,,0.11
2023-09-24 20:59:51,1.17.0,RevNeutral,9,4.16,,1,Left,Left,22,11,21,0,,,0.08
2023-09-24 20:59:54,1.17.0,RevNeutral,9,4.16,2.0,1,Pellet,Left,22,11,22,0,1.70,106.0,
2023-09-24 21:00:16,1.17.0,RevNeutral,9,4.16,,1,Right,Left,22,12,22,0,,,0.3
2023-09-24 21:01:11,1.17.0,RevNeutral,9,4.16,,1,Right,Left,22,13,22,0,,,0.26
2023-09-24 21:03:13,1.17.0,RevNeutral,9,4.16,,1,Right,Left,22,14,22,0,,,0.18
2023-09-24 21:03:32,1.17.0,RevNeutral,9,4.16,,1,Left,Left,23,14,22,0,,,0.17
2023-09-24 21:08:17,1.17.0,RevNeutral,9,4.16,2.0,1,Pellet,Left,23,14,23,0,Timed_out,503.0,
2023-09-24 21:11:11,1.17.0,RevNeutral,9,4.16,,1,Left,Left,24,14,23,0,,,0.19
2023-09-24 21:14:00,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Left,24,14,24,0,Timed_out,343.0,
2023-09-24 21:14:25,1.17.0,RevNeutral,9,4.17,,1,Left,Left,25,14,24,0,,,0.05
2023-09-24 21:14:27,1.17.0,RevNeutral,9,4.17,2.0,1,Pellet,Left,25,14,25,0,0.31,27.0,
2023-09-24 21:14:53,1.17.0,RevNeutral,9,4.16,,1,Right,Left,25,15,25,0,,,0.45
2023-09-24 21:14:54,1.17.0,RevNeutral,9,4.16,,1,Right,Left,25,16,25,0,,,0.17
2023-09-24 21:15:08,1.17.0,RevNeutral,9,4.16,,1,Right,Left,25,17,25,0,,,0.13
2023-09-24 21:24:18,1.17.0,RevNeutral,9,4.16,,1,Left,Left,26,17,25,0,,,0.15
2023-09-24 21:24:20,1.17.0,RevNeutral,9,4.17,1.0,1,Pellet,Left,26,17,26,0,1.32,593.0,
2023-09-24 21:24:49,1.17.0,RevNeutral,9,4.16,,1,Left,Left,27,17,26,0,,,0.21
2023-09-24 21:24:50,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Left,27,17,27,0,0.63,30.0,
2023-09-24 21:31:00,1.17.0,RevNeutral,9,4.16,,1,Right,Left,27,18,27,0,,,0.01
2023-09-24 21:31:01,1.17.0,RevNeutral,9,4.16,,1,Right,Left,27,19,27,0,,,0.33
2023-09-24 21:31:07,1.17.0,RevNeutral,9,4.16,,1,Right,Left,27,20,27,0,,,0.05
2023-09-24 21:31:10,1.17.0,RevNeutral,9,4.16,,1,Right,Left,27,21,27,0,,,0.16
2023-09-24 21:31:14,1.17.0,RevNeutral,9,4.16,,1,Right,Left,27,22,27,0,,,0.16
2023-09-24 21:31:19,1.17.0,RevNeutral,9,4.16,,1,Right,Left,27,23,27,0,,,0.37
2023-09-24 21:31:21,1.17.0,RevNeutral,9,4.16,,1,Right,Left,27,24,27,0,,,0.19
2023-09-24 21:31:24,1.17.0,RevNeutral,9,4.16,,1,Right,Left,27,25,27,0,,,0.04
2023-09-24 21:31:36,1.17.0,RevNeutral,9,4.16,,1,Left,Left,28,25,27,0,,,0.1
2023-09-24 21:31:36,1.17.0,RevNeutral,9,4.16,,1,LeftDuringDispense,Left,28,25,27,0,,,0.02
2023-09-24 21:31:44,1.17.0,RevNeutral,9,4.16,5.0,1,Pellet,Left,28,25,28,0,0.50,414.0,
2023-09-24 21:32:24,1.17.0,RevNeutral,9,4.16,,1,Left,Left,29,25,28,0,,,0.32
2023-09-24 21:32:29,1.17.0,RevNeutral,9,4.16,3.0,1,Pellet,Left,29,25,29,0,1.64,45.0,
2023-09-24 21:40:08,1.17.0,RevNeutral,9,4.16,,1,Left,Left,30,25,29,0,,,0.08
2023-09-24 21:40:16,1.17.0,RevNeutral,9,4.16,4.0,1,Pellet,Left,30,25,30,0,2.72,467.0,
2023-09-24 21:40:37,1.17.0,RevNeutral,9,4.16,,1,Left,Right,31,25,30,0,,,0.19
2023-09-24 21:40:41,1.17.0,RevNeutral,9,4.16,,1,Left,Right,32,25,30,0,,,0.29
2023-09-24 21:43:32,1.17.0,RevNeutral,9,4.16,,1,Right,Right,32,26,30,0,,,0.22
2023-09-24 21:43:33,1.17.0,RevNeutral,9,4.16,,1,RightDuringDispense,Right,32,26,30,0,,,0.03
2023-09-24 21:43:38,1.17.0,RevNeutral,9,4.16,2.0,1,Pellet,Right,32,26,31,0,2.65,202.0,
2023-09-24 21:45:56,1.17.0,RevNeutral,9,4.16,,1,Right,Right,32,27,31,0,,,0.19
2023-09-24 21:46:03,1.17.0,RevNeutral,9,4.16,2.0,1,Pellet,Right,32,27,32,0,4.12,145.0,
2023-09-24 21:53:51,1.17.0,RevNeutral,9,4.16,,1,Left,Right,33,27,32,0,,,0.27
2023-09-24 21:54:07,1.17.0,RevNeutral,9,4.16,,1,Left,Right,34,27,32,0,,,0.22
2023-09-24 21:55:17,1.17.0,RevNeutral,9,4.16,,1,Right,Right,34,28,32,0,,,0.33
2023-09-24 21:55:18,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Right,34,28,33,0,0.69,555.0,
2023-09-24 21:55:37,1.17.0,RevNeutral,9,4.16,,1,Right,Right,34,29,33,0,,,0.17
2023-09-24 21:55:39,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Right,34,29,34,0,1.20,20.0,
2023-09-24 21:55:59,1.17.0,RevNeutral,9,4.16,,1,Right,Right,34,30,34,0,,,0.42
2023-09-24 21:56:05,1.17.0,RevNeutral,9,4.16,3.0,1,Pellet,Right,34,30,35,0,0.75,27.0,
2023-09-24 22:01:46,1.17.0,RevNeutral,9,4.16,,1,Right,Right,34,31,35,0,,,0.07
2023-09-24 22:01:48,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Right,34,31,36,0,1.20,343.0,
2023-09-24 22:02:03,1.17.0,RevNeutral,9,4.16,,1,Right,Right,34,32,36,0,,,0.15
2023-09-24 22:02:09,1.17.0,RevNeutral,9,4.16,3.0,1,Pellet,Right,34,32,37,0,0.75,21.0,
2023-09-24 22:02:44,1.17.0,RevNeutral,9,4.16,,1,Right,Right,34,33,37,0,,,0.12
2023-09-24 22:02:46,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Right,34,33,38,0,1.01,37.0,
2023-09-24 22:03:05,1.17.0,RevNeutral,9,4.16,,1,Right,Right,34,34,38,0,,,0.09
2023-09-24 22:03:08,1.17.0,RevNeutral,9,4.16,2.0,1,Pellet,Right,34,34,39,0,1.83,22.0,
2023-09-24 22:09:35,1.17.0,RevNeutral,9,4.16,,1,Left,Right,35,34,39,0,,,0.18
2023-09-24 22:11:24,1.17.0,RevNeutral,9,4.16,,1,Right,Right,35,35,39,0,,,0.28
2023-09-24 22:11:28,1.17.0,RevNeutral,9,4.16,2.0,1,Pellet,Right,35,35,40,0,0.44,499.0,
2023-09-24 22:14:19,1.17.0,RevNeutral,9,4.16,,1,Left,Right,36,35,40,0,,,0.17
2023-09-24 22:16:46,1.17.0,RevNeutral,9,4.16,,1,Right,Right,36,36,40,0,,,0.05
2023-09-24 22:16:48,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Right,36,36,41,0,0.69,321.0,
2023-09-24 22:20:35,1.17.0,RevNeutral,9,4.16,,1,Left,Right,37,36,41,0,,,0.17
2023-09-24 22:33:13,1.17.0,RevNeutral,9,4.16,,1,Left,Right,38,36,41,0,,,0.12
2023-09-24 22:33:41,1.17.0,RevNeutral,9,4.16,,1,Right,Right,38,37,41,0,,,0.1
2023-09-24 22:33:43,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Right,38,37,42,0,0.75,1015.0,
2023-09-24 23:06:53,1.17.0,RevNeutral,9,4.16,,1,Left,Right,39,37,42,0,,,0.35
2023-09-24 23:06:55,1.17.0,RevNeutral,9,4.16,,1,Left,Right,40,37,42,0,,,0.04
2023-09-24 23:06:59,1.17.0,RevNeutral,9,4.16,,1,Left,Right,41,37,42,0,,,0.31
2023-09-24 23:07:06,1.17.0,RevNeutral,9,4.16,,1,Left,Right,42,37,42,0,,,0.19
2023-09-24 23:07:14,1.17.0,RevNeutral,9,4.16,,1,Right,Right,42,38,42,0,,,0.15
2023-09-24 23:07:17,1.17.0,RevNeutral,9,4.15,2.0,1,Pellet,Right,42,38,43,0,0.31,2014.0,
2023-09-24 23:07:39,1.17.0,RevNeutral,9,4.16,,1,Right,Right,42,39,43,0,,,0.17
2023-09-24 23:07:44,1.17.0,RevNeutral,9,4.16,4.0,1,Pellet,Right,42,39,44,0,0.19,27.0,
2023-09-24 23:08:04,1.17.0,RevNeutral,9,4.16,,1,Right,Right,42,40,44,0,,,0.13
2023-09-24 23:08:05,1.17.0,RevNeutral,9,4.16,2.0,1,Pellet,Right,42,40,45,0,0.69,21.0,
2023-09-24 23:08:25,1.17.0,RevNeutral,9,4.16,,1,Right,Right,42,41,45,0,,,0.02
2023-09-24 23:08:26,1.17.0,RevNeutral,9,4.16,2.0,1,Pellet,Right,42,41,46,0,0.75,21.0,
2023-09-24 23:08:50,1.17.0,RevNeutral,9,4.16,,1,Right,Right,42,42,46,0,,,0.27
2023-09-24 23:08:51,1.17.0,RevNeutral,9,4.16,2.0,1,Pellet,Right,42,42,47,0,0.63,25.0,
2023-09-24 23:09:12,1.17.0,RevNeutral,9,4.16,,1,Right,Right,42,43,47,0,,,0.04
2023-09-24 23:09:15,1.17.0,RevNeutral,9,4.16,2.0,1,Pellet,Right,42,43,48,0,0.31,24.0,
2023-09-24 23:53:33,1.17.0,RevNeutral,9,4.16,,1,Left,Right,43,43,48,0,,,0.17
2023-09-24 23:53:36,1.17.0,RevNeutral,9,4.16,,1,Left,Right,44,43,48,0,,,0.11
2023-09-24 23:53:38,1.17.0,RevNeutral,9,4.15,,1,Left,Right,45,43,48,0,,,0.22
2023-09-24 23:53:39,1.17.0,RevNeutral,9,4.16,,1,Left,Right,46,43,48,0,,,0.24
2023-09-24 23:54:03,1.17.0,RevNeutral,9,4.15,,1,Left,Right,47,43,48,0,,,0.24
2023-09-24 23:54:05,1.17.0,RevNeutral,9,4.16,,1,Left,Right,48,43,48,0,,,0.12
2023-09-24 23:54:07,1.17.0,RevNeutral,9,4.16,,1,Left,Right,49,43,48,0,,,0.24
2023-09-24 23:54:09,1.17.0,RevNeutral,9,4.16,,1,Left,Right,50,43,48,0,,,0.32
2023-09-24 23:54:20,1.17.0,RevNeutral,9,4.16,,1,Right,Right,50,44,48,0,,,0.28
2023-09-24 23:54:21,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Right,50,44,49,0,0.37,2706.0,
2023-09-24 23:54:50,1.17.0,RevNeutral,9,4.16,,1,Left,Right,51,44,49,0,,,0.35
2023-09-24 23:54:52,1.17.0,RevNeutral,9,4.16,,1,Left,Right,52,44,49,0,,,0.3
2023-09-24 23:55:02,1.17.0,RevNeutral,9,4.16,,1,Left,Right,53,44,49,0,,,0.14
2023-09-24 23:55:04,1.17.0,RevNeutral,9,4.16,,1,Left,Right,54,44,49,0,,,0.06
2023-09-24 23:55:06,1.17.0,RevNeutral,9,4.16,,1,Left,Right,55,44,49,0,,,0.35
2023-09-24 23:55:09,1.17.0,RevNeutral,9,4.16,,1,Left,Right,56,44,49,0,,,0.02
2023-09-24 23:55:12,1.17.0,RevNeutral,9,4.16,,1,Left,Right,57,44,49,0,,,0.1
2023-09-24 23:55:15,1.17.0,RevNeutral,9,4.16,,1,Left,Right,58,44,49,0,,,0.08
2023-09-24 23:55:23,1.17.0,RevNeutral,9,4.16,,1,Left,Right,59,44,49,0,,,0.17
2023-09-24 23:55:49,1.17.0,RevNeutral,9,4.16,,1,Right,Right,59,45,49,0,,,0.11
2023-09-24 23:55:54,1.17.0,RevNeutral,9,4.16,3.0,1,Pellet,Right,59,45,50,0,0.75,93.0,
2023-09-25 00:11:57,1.17.0,RevNeutral,9,4.16,,1,Left,Right,60,45,50,0,,,0.04
2023-09-25 00:14:11,1.17.0,RevNeutral,9,4.16,,1,Left,Right,61,45,50,0,,,0.12
2023-09-25 00:14:17,1.17.0,RevNeutral,9,4.14,,1,Left,Right,62,45,50,0,,,0.37
2023-09-25 00:18:46,1.17.0,RevNeutral,9,4.16,,1,Left,Right,63,45,50,0,,,0.03
2023-09-25 00:18:48,1.17.0,RevNeutral,9,4.16,,1,Left,Right,64,45,50,0,,,0.21
2023-09-25 00:18:50,1.17.0,RevNeutral,9,4.16,,1,Left,Right,65,45,50,0,,,0.21
2023-09-25 00:19:01,1.17.0,RevNeutral,9,4.15,,1,Left,Right,66,45,50,0,,,0.42
2023-09-25 00:19:03,1.17.0,RevNeutral,9,4.16,,1,Left,Right,67,45,50,0,,,0.13
2023-09-25 00:19:16,1.17.0,RevNeutral,9,4.16,,1,Left,Right,68,45,50,0,,,0.25
2023-09-25 00:19:22,1.17.0,RevNeutral,9,4.16,,1,Right,Right,68,46,50,0,,,0.15
2023-09-25 00:19:27,1.17.0,RevNeutral,9,4.16,3.0,1,Pellet,Right,68,46,51,0,0.31,1413.0,
2023-09-25 00:19:49,1.17.0,RevNeutral,9,4.16,,1,Right,Right,68,47,51,0,,,0.08
2023-09-25 00:19:51,1.17.0,RevNeutral,9,4.15,1.0,1,Pellet,Right,68,47,52,0,0.56,24.0,
2023-09-25 00:20:11,1.17.0,RevNeutral,9,4.15,,1,Right,Right,68,48,52,0,,,0.23
2023-09-25 00:20:13,1.17.0,RevNeutral,9,4.14,1.0,1,Pellet,Right,68,48,53,0,0.94,22.0,
2023-09-25 00:22:41,1.17.0,RevNeutral,9,4.16,,1,Left,Right,69,48,53,0,,,0.01
2023-09-25 00:23:17,1.17.0,RevNeutral,9,4.16,,1,Left,Right,70,48,53,0,,,0.16
2023-09-25 00:23:29,1.17.0,RevNeutral,9,4.16,,1,Right,Right,70,49,53,0,,,0.0
2023-09-25 00:23:31,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Right,70,49,54,0,1.01,198.0,
2023-09-25 00:24:15,1.17.0,RevNeutral,9,4.16,,1,Right,Right,70,50,54,0,,,0.46
2023-09-25 00:24:25,1.17.0,RevNeutral,9,4.16,3.0,1,Pellet,Right,70,50,55,0,4.69,54.0,
2023-09-25 00:32:48,1.17.0,RevNeutral,9,4.16,,1,Left,Right,71,50,55,0,,,0.07
2023-09-25 00:33:19,1.17.0,RevNeutral,9,4.16,,1,Left,Right,72,50,55,0,,,0.14
2023-09-25 00:33:20,1.17.0,RevNeutral,9,4.16,,1,Left,Right,73,50,55,0,,,0.15
2023-09-25 00:33:29,1.17.0,RevNeutral,9,4.16,,1,Left,Right,74,50,55,0,,,0.0
2023-09-25 00:33:30,1.17.0,RevNeutral,9,4.16,,1,Right,Right,74,51,55,0,,,0.0
2023-09-25 00:33:33,1.17.0,RevNeutral,9,4.16,3.0,1,Pellet,Right,74,51,56,0,0.31,548.0,
2023-09-25 00:33:54,1.17.0,RevNeutral,9,4.16,,1,Left,Right,75,51,56,0,,,0.22
2023-09-25 00:34:01,1.17.0,RevNeutral,9,4.16,,1,Right,Right,75,52,56,0,,,0.05
2023-09-25 00:34:03,1.17.0,RevNeutral,9,4.15,2.0,1,Pellet,Right,75,52,57,0,0.25,30.0,
2023-09-25 00:57:31,1.17.0,RevNeutral,9,4.15,,1,Left,Right,76,52,57,0,,,0.19
2023-09-25 00:57:43,1.17.0,RevNeutral,9,4.16,,1,Left,Right,77,52,57,0,,,0.4
2023-09-25 00:57:46,1.17.0,RevNeutral,9,4.16,,1,Left,Right,78,52,57,0,,,0.26
2023-09-25 00:57:49,1.17.0,RevNeutral,9,4.15,,1,Left,Right,79,52,57,0,,,0.31
2023-09-25 00:57:53,1.17.0,RevNeutral,9,4.16,,1,Right,Right,79,53,57,0,,,0.27
2023-09-25 00:57:56,1.17.0,RevNeutral,9,4.16,3.0,1,Pellet,Right,79,53,58,0,0.31,1433.0,
2023-09-25 00:58:31,1.17.0,RevNeutral,9,4.15,,1,Left,Right,80,53,58,0,,,0.13
2023-09-25 00:58:36,1.17.0,RevNeutral,9,4.16,,1,Right,Right,80,54,58,0,,,0.22
2023-09-25 00:58:40,1.17.0,RevNeutral,9,4.16,2.0,1,Pellet,Right,80,54,59,0,1.13,44.0,
2023-09-25 00:59:09,1.17.0,RevNeutral,9,4.15,,1,Right,Right,80,55,59,0,,,0.03
2023-09-25 00:59:11,1.17.0,RevNeutral,9,4.15,1.0,1,Pellet,Right,80,55,60,0,0.69,31.0,
2023-09-25 00:59:30,1.17.0,RevNeutral,9,4.15,,1,Right,Left,80,56,60,0,,,0.38
2023-09-25 00:59:32,1.17.0,RevNeutral,9,4.15,,1,Right,Left,80,57,60,0,,,0.3
2023-09-25 00:59:35,1.17.0,RevNeutral,9,4.16,,1,Right,Left,80,58,60,0,,,0.28
2023-09-25 00:59:38,1.17.0,RevNeutral,9,4.15,,1,Right,Left,80,59,60,0,,,0.27
2023-09-25 00:59:39,1.17.0,RevNeutral,9,4.15,,1,Right,Left,80,60,60,0,,,0.38
2023-09-25 00:59:46,1.17.0,RevNeutral,9,4.16,,1,Right,Left,80,61,60,0,,,0.19
2023-09-25 00:59:49,1.17.0,RevNeutral,9,4.16,,1,Right,Left,80,62,60,0,,,0.17
2023-09-25 01:00:27,1.17.0,RevNeutral,9,4.16,,1,Left,Left,81,62,60,0,,,0.19
2023-09-25 01:00:28,1.17.0,RevNeutral,9,4.15,1.0,1,Pellet,Left,81,62,61,0,0.56,77.0,
2023-09-25 01:00:54,1.17.0,RevNeutral,9,4.15,,1,Left,Left,82,62,61,0,,,0.03
2023-09-25 01:00:55,1.17.0,RevNeutral,9,4.15,2.0,1,Pellet,Left,82,62,62,0,0.19,27.0,
2023-09-25 01:01:32,1.17.0,RevNeutral,9,4.16,,1,Left,Left,83,62,62,0,,,0.09
2023-09-25 01:01:33,1.17.0,RevNeutral,9,4.15,1.0,1,Pellet,Left,83,62,63,0,0.25,38.0,
2023-09-25 01:02:00,1.17.0,RevNeutral,9,4.15,,1,Left,Left,84,62,63,0,,,0.14
2023-09-25 01:02:06,1.17.0,RevNeutral,9,4.15,2.0,1,Pellet,Left,84,62,64,0,3.04,33.0,
2023-09-25 01:02:31,1.17.0,RevNeutral,9,4.15,,1,Left,Left,85,62,64,0,,,0.27
2023-09-25 01:02:33,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Left,85,62,65,0,0.44,27.0,
2023-09-25 01:18:55,1.17.0,RevNeutral,9,4.16,,1,Left,Left,86,62,65,0,,,0.25
2023-09-25 01:18:58,1.17.0,RevNeutral,9,4.15,2.0,1,Pellet,Left,86,62,66,0,0.19,985.0,
2023-09-25 01:19:30,1.17.0,RevNeutral,9,4.16,,1,Left,Left,87,62,66,0,,,0.14
2023-09-25 01:19:31,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Left,87,62,67,0,0.50,33.0,
2023-09-25 01:24:38,1.17.0,RevNeutral,9,4.15,,1,Left,Left,88,62,67,0,,,0.17
2023-09-25 01:24:40,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Left,88,62,68,0,1.53,309.0,
2023-09-25 01:28:15,1.17.0,RevNeutral,9,4.16,,1,Right,Left,88,63,68,0,,,0.22
2023-09-25 01:28:41,1.17.0,RevNeutral,9,4.16,,1,Left,Left,89,63,68,0,,,0.07
2023-09-25 01:28:47,1.17.0,RevNeutral,9,4.16,3.0,1,Pellet,Left,89,63,69,0,0.63,247.0,
2023-09-25 01:29:10,1.17.0,RevNeutral,9,4.15,,1,Left,Left,90,63,69,0,,,0.17
2023-09-25 01:29:11,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Left,90,63,70,0,0.69,24.0,
2023-09-25 01:29:28,1.17.0,RevNeutral,9,4.15,,1,Left,Left,91,63,70,0,,,0.07
2023-09-25 01:29:29,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Left,91,63,71,0,0.44,18.0,
2023-09-25 01:29:46,1.17.0,RevNeutral,9,4.15,,1,Left,Left,92,63,71,0,,,0.05
2023-09-25 01:29:48,1.17.0,RevNeutral,9,4.16,1.0,1,Pellet,Left,92,63,72,0,0.75,19.0,
2023-09-25 01:33:24,1.17.0,RevNeutral,9,4.14,,1,Left,Left,93,63,72,0,,,0.47
2023-09-25 01:52:30,1.17.0,RevNeutral,9,4.15,2.0,1,Pellet,Left,93,63,73,0,Timed_out,1362.0,
2023-09-25 01:59:26,1.17.0,RevNeutral,9,4.16,,1,Right,Left,93,64,73,0,,,0.04
2023-09-25 01:59:27,1.17.0,RevNeutral,9,4.14,,1,Right,Left,93,65,73,0,,,0.1
2023-09-25 01:59:29,1.17.0,RevNeutral,9,4.15,,1,Right,Left,93,66,73,0,,,0.74
2023-09-25 01:59:31,1.17.0,RevNeutral,9,4.15,,1,Right,Left,93,67,73,0,,,0.42
2023-09-25 01:59:35,1.17.0,RevNeutral,9,4.15,,1,Right,Left,93,68,73,0,,,0.16
2023-09-25 01:59:37,1.17.0,RevNeutral,9,4.15,,1,Right,Left,93,69,73,0,,,0.23
2023-09-25 01:59:38,1.17.0,RevNeutral,9,4.16,,1,Right,Left,93,70,73,0,,,0.13
2023-09-25 01:59:49,1.17.0,RevNeutral,9,4.15,,1,Right,Left,93,71,73,0,,,0.23
2023-09-25 02:00:04,1.17.0,RevNeutral,9,4.15,,1,Left,Left,94,71,73,0,,,0.35
