MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-12-22 19:31:30,1.17.0,PRexp,11,3.87,,1,Left,Left,2141,145,253,0,,,0.16
2024-12-22 19:31:33,1.17.0,PRexp,11,3.87,1.0,1,Pellet,Left,2141,145,254,1,0.55,4615.0,
2024-12-22 19:31:56,1.17.0,PRexp,11,3.89,,1,Left,Left,2142,145,254,1,,,0.1
2024-12-22 19:31:59,1.17.0,PRexp,11,3.89,1.0,1,Pellet,Left,2142,145,255,2,0.49,27.0,
2024-12-22 19:32:17,1.17.0,PRexp,11,3.89,,2,Left,Left,2143,145,255,2,,,0.47
2024-12-22 19:32:19,1.17.0,PRexp,11,3.88,,2,Left,Left,2144,145,255,2,,,0.16
2024-12-22 19:32:21,1.17.0,PRexp,11,3.88,1.0,2,Pellet,Left,2144,145,256,3,0.18,22.0,
2024-12-22 19:32:47,1.17.0,PRexp,11,3.88,,2,Left,Left,2145,145,256,3,,,0.45
2024-12-22 19:32:50,1.17.0,PRexp,11,3.89,,2,Left,Left,2146,145,256,3,,,0.13
2024-12-22 19:32:53,1.17.0,PRexp,11,3.87,1.0,2,Pellet,Left,2146,145,257,4,0.18,32.0,
2024-12-22 19:33:12,1.17.0,PRexp,11,3.88,,3,Left,Left,2147,145,257,4,,,0.47
2024-12-22 19:33:13,1.17.0,PRexp,11,3.88,,3,Left,Left,2148,145,257,4,,,0.0
2024-12-22 19:33:16,1.17.0,PRexp,11,3.87,,3,Left,Left,2149,145,257,4,,,0.12
2024-12-22 19:33:18,1.17.0,PRexp,11,3.88,1.0,3,Pellet,Left,2149,145,258,5,0.12,25.0,
2024-12-22 19:33:35,1.17.0,PRexp,11,3.88,,4,Left,Left,2150,145,258,5,,,0.37
2024-12-22 19:33:42,1.17.0,PRexp,11,3.88,,4,Left,Left,2151,145,258,5,,,0.12
2024-12-22 19:33:43,1.17.0,PRexp,11,3.88,,4,Left,Left,2152,145,258,5,,,0.09
2024-12-22 19:33:44,1.17.0,PRexp,11,3.88,,4,Left,Left,2153,145,258,5,,,0.0
2024-12-22 19:33:49,1.17.0,PRexp,11,3.88,2.0,4,Pellet,Left,2153,145,259,6,0.3,31.0,
2024-12-22 19:34:05,1.17.0,PRexp,11,3.88,,5,Left,Left,2154,145,259,6,,,0.05
2024-12-22 19:34:11,1.17.0,PRexp,11,3.88,,5,Left,Left,2155,145,259,6,,,0.0
2024-12-22 19:36:56,1.17.0,PRexp,11,3.88,,5,Left,Left,2156,145,259,6,,,0.26
2024-12-22 19:36:58,1.17.0,PRexp,11,3.88,,5,Left,Left,2157,145,259,6,,,0.49
2024-12-22 19:37:00,1.17.0,PRexp,11,3.88,,5,Left,Left,2158,145,259,6,,,0.06
2024-12-22 19:37:02,1.17.0,PRexp,11,3.88,1.0,5,Pellet,Left,2158,145,260,7,0.3,193.0,
2024-12-22 19:37:23,1.17.0,PRexp,11,3.88,,6,Left,Left,2159,145,260,7,,,0.07
2024-12-22 19:39:47,1.17.0,PRexp,11,3.88,,6,Left,Left,2160,145,260,7,,,0.39
2024-12-22 19:42:22,1.17.0,PRexp,11,3.88,,6,Left,Left,2161,145,260,7,,,0.13
2024-12-22 19:42:24,1.17.0,PRexp,11,3.88,,6,Left,Left,2162,145,260,7,,,0.01
2024-12-22 19:43:04,1.17.0,PRexp,11,3.88,,6,Right,Left,2162,146,260,7,,,0.07
2024-12-22 19:43:12,1.17.0,PRexp,11,3.88,,6,Right,Left,2162,147,260,7,,,0.0
2024-12-22 19:43:14,1.17.0,PRexp,11,3.88,,6,Right,Left,2162,148,260,7,,,0.51
2024-12-22 19:43:16,1.17.0,PRexp,11,3.88,,6,Right,Left,2162,149,260,7,,,0.0
2024-12-22 19:43:23,1.17.0,PRexp,11,3.88,,6,Right,Left,2162,150,260,7,,,0.0
2024-12-22 19:43:25,1.17.0,PRexp,11,3.89,,6,Left,Left,2163,150,260,7,,,0.26
2024-12-22 19:43:27,1.17.0,PRexp,11,3.88,,6,Left,Left,2164,150,260,7,,,0.1
2024-12-22 19:43:29,1.17.0,PRexp,11,3.88,1.0,6,Pellet,Left,2164,150,261,8,0.12,387.0,
2024-12-22 19:43:52,1.17.0,PRexp,11,3.88,,7,Left,Left,2165,150,261,8,,,0.08
2024-12-22 19:44:38,1.17.0,PRexp,11,3.88,,7,Right,Left,2165,151,261,8,,,0.06
2024-12-22 19:44:40,1.17.0,PRexp,11,3.88,,7,Right,Left,2165,152,261,8,,,0.0
2024-12-22 19:44:47,1.17.0,PRexp,11,3.88,,7,Right,Left,2165,153,261,8,,,0.0
2024-12-22 19:45:23,1.17.0,PRexp,11,3.88,,7,Left,Left,2166,153,261,8,,,0.21
2024-12-22 19:45:25,1.17.0,PRexp,11,3.88,,7,Left,Left,2167,153,261,8,,,0.09
2024-12-22 19:48:33,1.17.0,PRexp,11,3.88,,7,Left,Left,2168,153,261,8,,,0.2
2024-12-22 19:48:52,1.17.0,PRexp,11,3.88,,7,Right,Left,2168,154,261,8,,,0.21
2024-12-22 19:49:27,1.17.0,PRexp,11,3.88,,7,Left,Left,2169,154,261,8,,,0.13
2024-12-22 20:13:05,1.17.0,PRexp,11,3.88,,7,Left,Left,2170,154,261,8,,,0.08
2024-12-22 20:13:06,1.17.0,PRexp,11,3.87,,7,Left,Left,2171,154,261,8,,,0.15
2024-12-22 20:13:09,1.17.0,PRexp,11,3.88,1.0,7,Pellet,Left,2171,154,262,9,0.24,1780.0,
2024-12-22 20:13:24,1.17.0,PRexp,11,3.88,,9,Left,Left,2172,154,262,9,,,0.04
2024-12-22 20:13:25,1.17.0,PRexp,11,3.88,,9,Left,Left,2173,154,262,9,,,0.17
2024-12-22 20:13:27,1.17.0,PRexp,11,3.88,,9,Left,Left,2174,154,262,9,,,0.29
2024-12-22 20:13:30,1.17.0,PRexp,11,3.88,,9,Left,Left,2175,154,262,9,,,0.27
2024-12-22 20:13:31,1.17.0,PRexp,11,3.88,,9,Left,Left,2176,154,262,9,,,0.23
2024-12-22 20:13:34,1.17.0,PRexp,11,3.88,,9,Left,Left,2177,154,262,9,,,0.16
2024-12-22 20:13:36,1.17.0,PRexp,11,3.88,,9,Left,Left,2178,154,262,9,,,0.01
2024-12-22 20:13:40,1.17.0,PRexp,11,3.87,,9,Left,Left,2179,154,262,9,,,0.23
2024-12-22 20:13:49,1.17.0,PRexp,11,3.88,,9,Left,Left,2180,154,262,9,,,0.26
2024-12-22 20:13:51,1.17.0,PRexp,11,3.88,1.0,9,Pellet,Left,2180,154,263,10,0.18,42.0,
2024-12-22 20:14:10,1.17.0,PRexp,11,3.87,,10,Left,Left,2181,154,263,10,,,0.16
2024-12-22 20:14:18,1.17.0,PRexp,11,3.88,,10,Left,Left,2182,154,263,10,,,0.14
2024-12-22 20:35:38,1.17.0,PRexp,11,3.88,,10,Left,Left,2183,154,263,10,,,0.18
2024-12-22 20:35:40,1.17.0,PRexp,11,3.88,,10,Left,Left,2184,154,263,10,,,0.24
2024-12-22 20:35:42,1.17.0,PRexp,11,3.88,,10,Left,Left,2185,154,263,10,,,0.11
2024-12-22 20:35:43,1.17.0,PRexp,11,3.88,,10,Left,Left,2186,154,263,10,,,0.55
2024-12-22 20:35:47,1.17.0,PRexp,11,3.88,,10,Left,Left,2187,154,263,10,,,0.34
2024-12-22 20:35:50,1.17.0,PRexp,11,3.88,,10,Left,Left,2188,154,263,10,,,0.08
2024-12-22 20:35:52,1.17.0,PRexp,11,3.88,,10,Left,Left,2189,154,263,10,,,0.27
2024-12-22 20:35:54,1.17.0,PRexp,11,3.88,,10,Left,Left,2190,154,263,10,,,0.02
2024-12-22 20:35:57,1.17.0,PRexp,11,3.87,1.0,10,Pellet,Left,2190,154,264,11,0.24,1326.0,
2024-12-22 20:36:11,1.17.0,PRexp,11,3.88,,12,Left,Left,2191,154,264,11,,,0.11
2024-12-22 20:36:13,1.17.0,PRexp,11,3.88,,12,Left,Left,2192,154,264,11,,,0.32
2024-12-22 20:36:16,1.17.0,PRexp,11,3.88,,12,Left,Left,2193,154,264,11,,,0.02
2024-12-22 20:36:20,1.17.0,PRexp,11,3.87,,12,Left,Left,2194,154,264,11,,,0.82
2024-12-22 20:36:22,1.17.0,PRexp,11,3.87,,12,Left,Left,2195,154,264,11,,,0.19
2024-12-22 20:36:24,1.17.0,PRexp,11,3.88,,12,Left,Left,2196,154,264,11,,,0.38
2024-12-22 20:36:27,1.17.0,PRexp,11,3.87,,12,Left,Left,2197,154,264,11,,,0.04
2024-12-22 20:36:28,1.17.0,PRexp,11,3.88,,12,Left,Left,2198,154,264,11,,,0.13
2024-12-22 20:36:30,1.17.0,PRexp,11,3.88,,12,Left,Left,2199,154,264,11,,,0.37
2024-12-22 20:36:33,1.17.0,PRexp,11,3.88,,12,Left,Left,2200,154,264,11,,,0.3
2024-12-22 20:36:46,1.17.0,PRexp,11,3.87,,12,Left,Left,2201,154,264,11,,,0.82
2024-12-22 20:36:48,1.17.0,PRexp,11,3.87,,12,Left,Left,2202,154,264,11,,,0.0
2024-12-22 20:36:50,1.17.0,PRexp,11,3.87,1.0,12,Pellet,Left,2202,154,265,12,0.3,53.0,
2024-12-22 20:37:06,1.17.0,PRexp,11,3.88,,13,Left,Left,2203,154,265,12,,,0.15
2024-12-22 20:37:07,1.17.0,PRexp,11,3.87,,13,Left,Left,2204,154,265,12,,,0.0
2024-12-22 20:37:09,1.17.0,PRexp,11,3.88,,13,Left,Left,2205,154,265,12,,,0.15
2024-12-22 20:37:11,1.17.0,PRexp,11,3.86,,13,Left,Left,2206,154,265,12,,,0.61
2024-12-22 20:37:13,1.17.0,PRexp,11,3.88,,13,Left,Left,2207,154,265,12,,,0.2
2024-12-22 20:37:18,1.17.0,PRexp,11,3.88,,13,Left,Left,2208,154,265,12,,,0.23
2024-12-22 20:37:20,1.17.0,PRexp,11,3.88,,13,Left,Left,2209,154,265,12,,,0.08
2024-12-22 20:41:03,1.17.0,PRexp,11,3.87,,13,Left,Left,2210,154,265,12,,,0.13
2024-12-22 20:41:40,1.17.0,PRexp,11,3.87,,13,Left,Left,2211,154,265,12,,,0.0
2024-12-22 20:41:59,1.17.0,PRexp,11,3.88,,13,Left,Left,2212,154,265,12,,,0.07
2024-12-22 20:42:19,1.17.0,PRexp,11,3.87,,13,Left,Left,2213,154,265,12,,,0.11
2024-12-22 20:43:22,1.17.0,PRexp,11,3.88,,13,Left,Left,2214,154,265,12,,,0.08
2024-12-22 20:43:39,1.17.0,PRexp,11,3.87,,13,Left,Left,2215,154,265,12,,,0.11
2024-12-22 20:43:42,1.17.0,PRexp,11,3.88,1.0,13,Pellet,Left,2215,154,266,13,0.79,412.0,
2024-12-22 20:44:02,1.17.0,PRexp,11,3.88,,15,Left,Left,2216,154,266,13,,,0.39
2024-12-22 20:45:35,1.17.0,PRexp,11,3.87,,15,Left,Left,2217,154,266,13,,,0.06
2024-12-22 20:45:45,1.17.0,PRexp,11,3.87,,15,Left,Left,2218,154,266,13,,,0.22
2024-12-22 20:45:55,1.17.0,PRexp,11,3.88,,15,Left,Left,2219,154,266,13,,,0.16
2024-12-22 20:45:59,1.17.0,PRexp,11,3.88,,15,Left,Left,2220,154,266,13,,,0.09
2024-12-22 20:46:05,1.17.0,PRexp,11,3.87,,15,Left,Left,2221,154,266,13,,,0.16
2024-12-22 20:48:02,1.17.0,PRexp,11,3.88,,15,Left,Left,2222,154,266,13,,,0.17
2024-12-22 20:48:05,1.17.0,PRexp,11,3.88,,15,Left,Left,2223,154,266,13,,,0.22
2024-12-22 20:48:06,1.17.0,PRexp,11,3.88,,15,Left,Left,2224,154,266,13,,,0.34
2024-12-22 20:48:09,1.17.0,PRexp,11,3.87,,15,Left,Left,2225,154,266,13,,,0.2
2024-12-22 20:48:21,1.17.0,PRexp,11,3.87,,15,Left,Left,2226,154,266,13,,,0.22
2024-12-22 20:48:24,1.17.0,PRexp,11,3.87,,15,Left,Left,2227,154,266,13,,,0.43
2024-12-22 20:48:25,1.17.0,PRexp,11,3.87,,15,Left,Left,2228,154,266,13,,,0.0
2024-12-22 20:48:28,1.17.0,PRexp,11,3.88,,15,Left,Left,2229,154,266,13,,,0.15
2024-12-22 20:49:45,1.17.0,PRexp,11,3.87,,15,Left,Left,2230,154,266,13,,,0.23
2024-12-22 20:49:48,1.17.0,PRexp,11,3.88,1.0,15,Pellet,Left,2230,154,267,14,0.61,366.0,
2024-12-22 20:51:27,1.17.0,PRexp,11,3.88,,17,Right,Left,2230,155,267,14,,,0.04
2024-12-22 20:52:04,1.17.0,PRexp,11,3.87,,17,Right,Left,2230,156,267,14,,,0.07
2024-12-22 20:52:12,1.17.0,PRexp,11,3.88,,17,Left,Left,2231,156,267,14,,,0.02
2024-12-22 20:52:15,1.17.0,PRexp,11,3.88,,17,Left,Left,2232,156,267,14,,,0.07
2024-12-22 20:54:23,1.17.0,PRexp,11,3.88,,17,Left,Left,2233,156,267,14,,,0.23
2024-12-22 20:54:26,1.17.0,PRexp,11,3.88,,17,Left,Left,2234,156,267,14,,,0.09
2024-12-22 20:54:31,1.17.0,PRexp,11,3.87,,17,Left,Left,2235,156,267,14,,,0.15
2024-12-22 20:55:06,1.17.0,PRexp,11,3.88,,17,Left,Left,2236,156,267,14,,,0.05
2024-12-22 20:56:14,1.17.0,PRexp,11,3.88,,17,Left,Left,2237,156,267,14,,,0.13
2024-12-22 20:56:16,1.17.0,PRexp,11,3.87,,17,Left,Left,2238,156,267,14,,,0.15
2024-12-22 20:56:18,1.17.0,PRexp,11,3.88,,17,Left,Left,2239,156,267,14,,,0.32
2024-12-22 20:56:22,1.17.0,PRexp,11,3.88,,17,Left,Left,2240,156,267,14,,,0.14
2024-12-22 20:56:23,1.17.0,PRexp,11,3.88,,17,Left,Left,2241,156,267,14,,,0.0
2024-12-22 20:56:24,1.17.0,PRexp,11,3.88,,17,Left,Left,2242,156,267,14,,,0.0
2024-12-22 21:00:17,1.17.0,PRexp,11,3.88,,17,Left,Left,2243,156,267,14,,,0.29
2024-12-22 21:02:54,1.17.0,PRexp,11,3.87,,17,Left,Left,2244,156,267,14,,,0.0
2024-12-22 21:03:58,1.17.0,PRexp,11,3.87,,17,Left,Left,2245,156,267,14,,,0.01
2024-12-22 21:04:24,1.17.0,PRexp,11,3.88,,17,Left,Left,2246,156,267,14,,,0.18
2024-12-22 21:04:26,1.17.0,PRexp,11,3.87,,17,Left,Left,2247,156,267,14,,,0.29
2024-12-22 21:04:29,1.17.0,PRexp,11,3.88,1.0,17,Pellet,Left,2247,156,268,15,0.18,881.0,
2024-12-22 21:04:49,1.17.0,PRexp,11,3.88,,20,Left,Left,2248,156,268,15,,,0.22
2024-12-22 21:05:01,1.17.0,PRexp,11,3.88,,20,Right,Left,2248,157,268,15,,,0.19
2024-12-22 21:06:12,1.17.0,PRexp,11,3.88,,20,Left,Left,2249,157,268,15,,,0.16
2024-12-22 21:06:14,1.17.0,PRexp,11,3.87,,20,Left,Left,2250,157,268,15,,,0.0
2024-12-22 21:07:22,1.17.0,PRexp,11,3.88,,20,Left,Left,2251,157,268,15,,,0.62
2024-12-22 21:07:24,1.17.0,PRexp,11,3.87,,20,Left,Left,2252,157,268,15,,,0.13
2024-12-22 21:07:25,1.17.0,PRexp,11,3.88,,20,Left,Left,2253,157,268,15,,,0.0
2024-12-22 21:07:27,1.17.0,PRexp,11,3.88,,20,Left,Left,2254,157,268,15,,,0.25
2024-12-22 21:07:30,1.17.0,PRexp,11,3.87,,20,Left,Left,2255,157,268,15,,,0.22
2024-12-22 21:07:33,1.17.0,PRexp,11,3.88,,20,Left,Left,2256,157,268,15,,,0.06
2024-12-22 21:11:40,1.17.0,PRexp,11,3.87,,20,Left,Left,2257,157,268,15,,,0.07
2024-12-22 21:19:28,1.17.0,PRexp,11,3.88,,20,Left,Left,2258,157,268,15,,,0.0
2024-12-22 21:19:30,1.17.0,PRexp,11,3.87,,20,Left,Left,2259,157,268,15,,,0.5
2024-12-22 21:19:33,1.17.0,PRexp,11,3.87,,20,Left,Left,2260,157,268,15,,,0.23
2024-12-22 21:19:35,1.17.0,PRexp,11,3.88,,20,Left,Left,2261,157,268,15,,,0.03
2024-12-22 21:19:41,1.17.0,PRexp,11,3.87,,20,Left,Left,2262,157,268,15,,,0.23
2024-12-22 21:19:45,1.17.0,PRexp,11,3.87,,20,Left,Left,2263,157,268,15,,,0.06
2024-12-22 21:19:51,1.17.0,PRexp,11,3.87,,20,Left,Left,2264,157,268,15,,,0.11
2024-12-22 21:19:53,1.17.0,PRexp,11,3.88,,20,Left,Left,2265,157,268,15,,,0.05
2024-12-22 21:19:54,1.17.0,PRexp,11,3.87,,20,Left,Left,2266,157,268,15,,,0.0
2024-12-22 21:19:55,1.17.0,PRexp,11,3.87,,20,Left,Left,2267,157,268,15,,,0.0
2024-12-22 21:19:57,1.17.0,PRexp,11,3.87,2.0,20,Pellet,Left,2267,157,269,16,0.06,928.0,
2024-12-22 21:20:21,1.17.0,PRexp,11,3.88,,22,Left,Left,2268,157,269,16,,,0.44
2024-12-22 21:20:22,1.17.0,PRexp,11,3.86,,22,Left,Left,2269,157,269,16,,,0.19
2024-12-22 21:20:24,1.17.0,PRexp,11,3.87,,22,Left,Left,2270,157,269,16,,,0.03
2024-12-22 21:20:25,1.17.0,PRexp,11,3.88,,22,Left,Left,2271,157,269,16,,,0.0
2024-12-22 21:20:27,1.17.0,PRexp,11,3.88,,22,Left,Left,2272,157,269,16,,,0.14
2024-12-22 21:20:30,1.17.0,PRexp,11,3.88,,22,Left,Left,2273,157,269,16,,,0.58
2024-12-22 21:20:31,1.17.0,PRexp,11,3.87,,22,Left,Left,2274,157,269,16,,,0.03
2024-12-22 21:20:34,1.17.0,PRexp,11,3.88,,22,Left,Left,2275,157,269,16,,,0.11
2024-12-22 21:20:37,1.17.0,PRexp,11,3.87,,22,Left,Left,2276,157,269,16,,,0.32
2024-12-22 21:20:40,1.17.0,PRexp,11,3.87,,22,Left,Left,2277,157,269,16,,,0.31
2024-12-22 21:20:41,1.17.0,PRexp,11,3.87,,22,Left,Left,2278,157,269,16,,,0.25
2024-12-22 21:20:44,1.17.0,PRexp,11,3.87,,22,Left,Left,2279,157,269,16,,,0.17
2024-12-22 21:20:47,1.17.0,PRexp,11,3.87,,22,Left,Left,2280,157,269,16,,,0.01
2024-12-22 21:22:02,1.17.0,PRexp,11,3.87,,22,Left,Left,2281,157,269,16,,,0.82
2024-12-22 21:22:05,1.17.0,PRexp,11,3.88,,22,Left,Left,2282,157,269,16,,,0.18
2024-12-22 21:22:07,1.17.0,PRexp,11,3.88,,22,Left,Left,2283,157,269,16,,,0.29
2024-12-22 21:22:13,1.17.0,PRexp,11,3.87,,22,Left,Left,2284,157,269,16,,,0.32
2024-12-22 21:22:43,1.17.0,PRexp,11,3.88,,22,Left,Left,2285,157,269,16,,,0.16
2024-12-22 21:22:44,1.17.0,PRexp,11,3.87,,22,Left,Left,2286,157,269,16,,,0.0
2024-12-22 21:22:45,1.17.0,PRexp,11,3.87,,22,Left,Left,2287,157,269,16,,,0.17
2024-12-22 21:22:48,1.17.0,PRexp,11,3.88,,22,Left,Left,2288,157,269,16,,,0.15
2024-12-22 21:22:52,1.17.0,PRexp,11,3.87,,22,Left,Left,2289,157,269,16,,,0.06
2024-12-22 21:22:54,1.17.0,PRexp,11,3.88,1.0,22,Pellet,Left,2289,157,270,17,0.42,177.0,
2024-12-22 21:23:14,1.17.0,PRexp,11,3.87,,25,Left,Left,2290,157,270,17,,,0.17
2024-12-22 21:23:16,1.17.0,PRexp,11,3.88,,25,Left,Left,2291,157,270,17,,,0.0
2024-12-22 21:23:18,1.17.0,PRexp,11,3.88,,25,Left,Left,2292,157,270,17,,,0.12
2024-12-22 21:23:22,1.17.0,PRexp,11,3.88,,25,Left,Left,2293,157,270,17,,,0.08
2024-12-22 21:23:28,1.17.0,PRexp,11,3.87,,25,Right,Left,2293,158,270,17,,,0.23
2024-12-22 21:23:29,1.17.0,PRexp,11,3.88,,25,Right,Left,2293,159,270,17,,,0.0
2024-12-22 21:23:31,1.17.0,PRexp,11,3.87,,25,Right,Left,2293,160,270,17,,,0.07
2024-12-22 21:23:33,1.17.0,PRexp,11,3.87,,25,Right,Left,2293,161,270,17,,,0.0
2024-12-22 21:23:36,1.17.0,PRexp,11,3.88,,25,Right,Left,2293,162,270,17,,,0.12
2024-12-22 21:23:41,1.17.0,PRexp,11,3.88,,25,Right,Left,2293,163,270,17,,,0.26
2024-12-22 21:23:43,1.17.0,PRexp,11,3.88,,25,Right,Left,2293,164,270,17,,,0.0
2024-12-22 21:23:44,1.17.0,PRexp,11,3.88,,25,Right,Left,2293,165,270,17,,,0.33
2024-12-22 21:23:48,1.17.0,PRexp,11,3.88,,25,Right,Left,2293,166,270,17,,,0.44
2024-12-22 21:23:53,1.17.0,PRexp,11,3.88,,25,Right,Left,2293,167,270,17,,,0.02
2024-12-22 21:24:03,1.17.0,PRexp,11,3.87,,25,Left,Left,2294,167,270,17,,,0.09
2024-12-22 21:24:05,1.17.0,PRexp,11,3.88,,25,Left,Left,2295,167,270,17,,,0.07
2024-12-22 21:24:08,1.17.0,PRexp,11,3.87,,25,Left,Left,2296,167,270,17,,,0.35
2024-12-22 21:24:09,1.17.0,PRexp,11,3.88,,25,Left,Left,2297,167,270,17,,,0.0
2024-12-22 21:24:10,1.17.0,PRexp,11,3.87,,25,Left,Left,2298,167,270,17,,,0.0
2024-12-22 21:24:14,1.17.0,PRexp,11,3.87,,25,Left,Left,2299,167,270,17,,,0.14
2024-12-22 21:24:17,1.17.0,PRexp,11,3.87,,25,Left,Left,2300,167,270,17,,,0.13
2024-12-22 21:24:18,1.17.0,PRexp,11,3.88,,25,Left,Left,2301,167,270,17,,,0.15
2024-12-22 21:24:28,1.17.0,PRexp,11,3.88,,25,Left,Left,2302,167,270,17,,,0.43
2024-12-22 21:30:28,1.17.0,PRexp,11,3.87,,25,Left,Left,2303,167,270,17,,,0.55
2024-12-22 21:30:29,1.17.0,PRexp,11,3.87,,25,Left,Left,2304,167,270,17,,,0.24
2024-12-22 21:30:32,1.17.0,PRexp,11,3.87,,25,Left,Left,2305,167,270,17,,,0.11
2024-12-22 21:30:39,1.17.0,PRexp,11,3.88,,25,Left,Left,2306,167,270,17,,,0.62
2024-12-22 21:30:42,1.17.0,PRexp,11,3.87,,25,Left,Left,2307,167,270,17,,,0.04
2024-12-22 21:30:46,1.17.0,PRexp,11,3.88,,25,Left,Left,2308,167,270,17,,,0.06
2024-12-22 21:30:47,1.17.0,PRexp,11,3.87,,25,Left,Left,2309,167,270,17,,,0.0
2024-12-22 21:30:53,1.17.0,PRexp,11,3.87,,25,Left,Left,2310,167,270,17,,,0.0
2024-12-22 21:31:29,1.17.0,PRexp,11,3.88,,25,Left,Left,2311,167,270,17,,,0.05
2024-12-22 21:31:31,1.17.0,PRexp,11,3.87,,25,Left,Left,2312,167,270,17,,,0.2
2024-12-22 21:31:32,1.17.0,PRexp,11,3.87,,25,Left,Left,2313,167,270,17,,,0.03
2024-12-22 21:31:36,1.17.0,PRexp,11,3.88,,25,Left,Left,2314,167,270,17,,,0.08
2024-12-22 21:31:38,1.17.0,PRexp,11,3.87,1.0,25,Pellet,Left,2314,167,271,18,0.24,524.0,
2024-12-22 21:32:04,1.17.0,PRexp,11,3.88,,28,Left,Left,2315,167,271,18,,,0.18
2024-12-22 21:32:06,1.17.0,PRexp,11,3.87,,28,Left,Left,2316,167,271,18,,,0.17
2024-12-22 21:32:10,1.17.0,PRexp,11,3.87,,28,Left,Left,2317,167,271,18,,,0.56
2024-12-22 21:32:18,1.17.0,PRexp,11,3.87,,28,Left,Left,2318,167,271,18,,,0.06
2024-12-22 21:35:24,1.17.0,PRexp,11,3.87,,28,Left,Left,2319,167,271,18,,,0.55
2024-12-22 21:35:27,1.17.0,PRexp,11,3.88,,28,Left,Left,2320,167,271,18,,,0.13
2024-12-22 21:42:32,1.17.0,PRexp,11,3.88,,28,Left,Left,2321,167,271,18,,,0.63
2024-12-22 21:42:35,1.17.0,PRexp,11,3.87,,28,Left,Left,2322,167,271,18,,,0.58
2024-12-22 21:42:37,1.17.0,PRexp,11,3.88,,28,Left,Left,2323,167,271,18,,,0.46
2024-12-22 21:42:38,1.17.0,PRexp,11,3.87,,28,Left,Left,2324,167,271,18,,,0.0
2024-12-22 21:42:39,1.17.0,PRexp,11,3.87,,28,Left,Left,2325,167,271,18,,,0.09
2024-12-22 21:42:42,1.17.0,PRexp,11,3.87,,28,Left,Left,2326,167,271,18,,,0.58
2024-12-22 21:42:43,1.17.0,PRexp,11,3.87,,28,Left,Left,2327,167,271,18,,,0.0
2024-12-22 21:42:46,1.17.0,PRexp,11,3.88,,28,Left,Left,2328,167,271,18,,,0.31
2024-12-22 21:42:48,1.17.0,PRexp,11,3.88,,28,Left,Left,2329,167,271,18,,,0.4
2024-12-22 21:42:52,1.17.0,PRexp,11,3.88,,28,Left,Left,2330,167,271,18,,,0.56
2024-12-22 21:42:54,1.17.0,PRexp,11,3.88,,28,Left,Left,2331,167,271,18,,,0.07
2024-12-22 21:42:59,1.17.0,PRexp,11,3.87,,28,Left,Left,2332,167,271,18,,,0.03
2024-12-22 21:43:00,1.17.0,PRexp,11,3.87,,28,Left,Left,2333,167,271,18,,,0.0
2024-12-22 21:43:02,1.17.0,PRexp,11,3.87,,28,Left,Left,2334,167,271,18,,,0.0
2024-12-22 21:43:03,1.17.0,PRexp,11,3.87,,28,Left,Left,2335,167,271,18,,,0.07
2024-12-22 21:43:06,1.17.0,PRexp,11,3.88,,28,Left,Left,2336,167,271,18,,,0.23
2024-12-22 21:43:12,1.17.0,PRexp,11,3.87,,28,Left,Left,2337,167,271,18,,,0.1
2024-12-22 21:43:14,1.17.0,PRexp,11,3.87,,28,Left,Left,2338,167,271,18,,,0.39
2024-12-22 21:43:17,1.17.0,PRexp,11,3.87,,28,Left,Left,2339,167,271,18,,,0.12
2024-12-22 21:44:03,1.17.0,PRexp,11,3.88,,28,Right,Left,2339,168,271,18,,,0.22
2024-12-22 21:44:05,1.17.0,PRexp,11,3.87,,28,Right,Left,2339,169,271,18,,,0.13
2024-12-22 22:12:38,1.17.0,PRexp,11,3.88,,28,Left,Left,2340,169,271,18,,,0.07
2024-12-22 22:12:40,1.17.0,PRexp,11,3.87,,28,Left,Left,2341,169,271,18,,,0.34
2024-12-22 22:12:42,1.17.0,PRexp,11,3.88,,28,Left,Left,2342,169,271,18,,,0.26
2024-12-22 22:12:45,1.17.0,PRexp,11,3.87,1.0,28,Pellet,Left,2342,169,272,19,0.24,2467.0,
2024-12-22 22:13:00,1.17.0,PRexp,11,3.88,,32,Left,Left,2343,169,272,19,,,0.16
2024-12-22 22:13:02,1.17.0,PRexp,11,3.88,,32,Left,Left,2344,169,272,19,,,0.16
2024-12-22 22:13:04,1.17.0,PRexp,11,3.87,,32,Left,Left,2345,169,272,19,,,0.02
2024-12-22 22:13:08,1.17.0,PRexp,11,3.88,,32,Left,Left,2346,169,272,19,,,0.17
2024-12-22 22:13:09,1.17.0,PRexp,11,3.88,,32,Left,Left,2347,169,272,19,,,0.29
2024-12-22 22:13:10,1.17.0,PRexp,11,3.87,,32,Left,Left,2348,169,272,19,,,0.1
2024-12-22 22:13:14,1.17.0,PRexp,11,3.87,,32,Left,Left,2349,169,272,19,,,0.11
2024-12-22 22:13:16,1.17.0,PRexp,11,3.87,,32,Left,Left,2350,169,272,19,,,0.21
