MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2023-11-29 07:08:25,1.17.0,PRexp,25,3.85,,9,Left,Left,3561,312,490,9,,,0.02
2023-11-29 07:08:26,1.17.0,PRexp,25,3.85,,9,Left,Left,3562,312,490,9,,,0.06
2023-11-29 07:08:29,1.17.0,PRexp,25,3.85,,9,Left,Left,3563,312,490,9,,,0.3
2023-11-29 07:08:31,1.17.0,PRexp,25,3.84,,9,Left,Left,3564,312,490,9,,,0.3
2023-11-29 07:08:34,1.17.0,PRexp,25,3.85,,9,Left,Left,3565,312,490,9,,,0.25
2023-11-29 07:18:10,1.17.0,PRexp,25,3.85,,9,Left,Left,3566,312,490,9,,,0.2
2023-11-29 07:18:13,1.17.0,PRexp,25,3.85,,9,Left,Left,3567,312,490,9,,,0.05
2023-11-29 07:18:15,1.17.0,PRexp,25,3.85,,9,Left,Left,3568,312,490,9,,,0.64
2023-11-29 07:18:16,1.17.0,PRexp,25,3.85,,9,Left,Left,3569,312,490,9,,,0.33
2023-11-29 07:18:19,1.17.0,PRexp,25,3.85,2.0,9,Pellet,Left,3569,312,491,10,0.06,1749.0,
2023-11-29 07:18:34,1.17.0,PRexp,25,3.85,,10,Left,Left,3570,312,491,10,,,0.56
2023-11-29 07:18:36,1.17.0,PRexp,25,3.86,,10,Left,Left,3571,312,491,10,,,0.39
2023-11-29 07:18:38,1.17.0,PRexp,25,3.85,,10,Left,Left,3572,312,491,10,,,0.11
2023-11-29 07:18:40,1.17.0,PRexp,25,3.85,,10,Left,Left,3573,312,491,10,,,0.32
2023-11-29 07:18:43,1.17.0,PRexp,25,3.85,,10,Left,Left,3574,312,491,10,,,0.41
2023-11-29 07:18:46,1.17.0,PRexp,25,3.85,,10,Left,Left,3575,312,491,10,,,0.55
2023-11-29 07:18:50,1.17.0,PRexp,25,3.85,,10,Left,Left,3576,312,491,10,,,0.71
2023-11-29 07:18:53,1.17.0,PRexp,25,3.85,,10,Left,Left,3577,312,491,10,,,0.0
2023-11-29 07:18:59,1.17.0,PRexp,25,3.85,,10,Left,Left,3578,312,491,10,,,0.62
2023-11-29 07:19:00,1.17.0,PRexp,25,3.85,,10,Left,Left,3579,312,491,10,,,0.0
2023-11-29 07:19:11,1.17.0,PRexp,25,3.85,2.0,10,Pellet,Left,3579,312,492,11,8.86,52.0,
2023-11-29 07:20:17,1.17.0,PRexp,25,3.85,,12,Right,Left,3579,313,492,11,,,0.87
2023-11-29 07:20:20,1.17.0,PRexp,25,3.85,,12,Left,Left,3580,313,492,11,,,0.2
2023-11-29 07:20:22,1.17.0,PRexp,25,3.85,,12,Left,Left,3581,313,492,11,,,0.12
2023-11-29 07:20:24,1.17.0,PRexp,25,3.85,,12,Left,Left,3582,313,492,11,,,0.06
2023-11-29 08:16:55,1.17.0,PRexp,25,3.85,,1,Left,Left,3583,313,492,0,,,0.09
2023-11-29 08:17:09,1.17.0,PRexp,25,3.85,3.0,1,Pellet,Left,3583,313,493,1,9.67,3478.0,
2023-11-29 08:17:27,1.17.0,PRexp,25,3.85,,1,Left,Left,3584,313,493,1,,,0.23
2023-11-29 08:17:29,1.17.0,PRexp,25,3.85,2.0,1,Pellet,Left,3584,313,494,2,0.12,20.0,
2023-11-29 08:17:50,1.17.0,PRexp,25,3.85,,2,Left,Left,3585,313,494,2,,,0.13
2023-11-29 08:17:51,1.17.0,PRexp,25,3.85,,2,Left,Left,3586,313,494,2,,,0.03
2023-11-29 08:17:53,1.17.0,PRexp,25,3.85,1.0,2,Pellet,Left,3586,313,495,3,0.24,24.0,
2023-11-29 08:18:08,1.17.0,PRexp,25,3.85,,2,Left,Left,3587,313,495,3,,,0.44
2023-11-29 08:18:09,1.17.0,PRexp,25,3.85,,2,Left,Left,3588,313,495,3,,,0.33
2023-11-29 08:18:20,1.17.0,PRexp,25,3.85,2.0,2,Pellet,Left,3588,313,496,4,6.34,27.0,
2023-11-29 08:18:50,1.17.0,PRexp,25,3.85,,3,Left,Left,3589,313,496,4,,,0.04
2023-11-29 08:18:52,1.17.0,PRexp,25,3.85,,3,Left,Left,3590,313,496,4,,,0.42
2023-11-29 08:18:54,1.17.0,PRexp,25,3.85,,3,Left,Left,3591,313,496,4,,,0.39
2023-11-29 08:19:06,1.17.0,PRexp,25,3.85,2.0,3,Pellet,Left,3591,313,497,5,7.45,46.0,
2023-11-29 08:19:28,1.17.0,PRexp,25,3.85,,4,Left,Left,3592,313,497,5,,,0.16
2023-11-29 08:19:30,1.17.0,PRexp,25,3.85,,4,Left,Left,3593,313,497,5,,,0.0
2023-11-29 08:19:31,1.17.0,PRexp,25,3.85,,4,Left,Left,3594,313,497,5,,,0.0
2023-11-29 08:19:32,1.17.0,PRexp,25,3.85,,4,Left,Left,3595,313,497,5,,,0.0
2023-11-29 08:19:35,1.17.0,PRexp,25,3.85,1.0,4,Pellet,Left,3595,313,498,6,0.06,29.0,
2023-11-29 08:21:52,1.17.0,PRexp,25,3.85,,5,Left,Left,3596,313,498,6,,,0.11
2023-11-29 08:21:54,1.17.0,PRexp,25,3.85,,5,Left,Left,3597,313,498,6,,,0.0
2023-11-29 08:21:55,1.17.0,PRexp,25,3.85,,5,Left,Left,3598,313,498,6,,,0.0
2023-11-29 08:31:48,1.17.0,PRexp,25,3.85,,5,Left,Left,3599,313,498,6,,,0.03
2023-11-29 08:31:50,1.17.0,PRexp,25,3.85,,5,Left,Left,3600,313,498,6,,,0.17
2023-11-29 08:31:52,1.17.0,PRexp,25,3.85,2.0,5,Pellet,Left,3600,313,499,7,0.06,737.0,
2023-11-29 08:32:15,1.17.0,PRexp,25,3.85,,6,Left,Left,3601,313,499,7,,,0.1
2023-11-29 08:32:22,1.17.0,PRexp,25,3.85,,6,Left,Left,3602,313,499,7,,,0.48
2023-11-29 08:32:29,1.17.0,PRexp,25,3.85,,6,Left,Left,3603,313,499,7,,,0.51
2023-11-29 08:32:31,1.17.0,PRexp,25,3.85,,6,Left,Left,3604,313,499,7,,,0.13
2023-11-29 08:32:39,1.17.0,PRexp,25,3.85,,6,Left,Left,3605,313,499,7,,,0.07
2023-11-29 08:32:41,1.17.0,PRexp,25,3.85,,6,Left,Left,3606,313,499,7,,,0.0
2023-11-29 08:32:43,1.17.0,PRexp,25,3.85,1.0,6,Pellet,Left,3606,313,500,8,0.06,51.0,
2023-11-29 09:21:32,1.17.0,PRexp,25,3.85,,1,Left,Left,3607,313,500,0,,,0.43
2023-11-29 09:21:35,1.17.0,PRexp,25,3.85,1.0,1,Pellet,Left,3607,313,501,1,0.36,2932.0,
2023-11-29 09:21:59,1.17.0,PRexp,25,3.85,,1,Left,Left,3608,313,501,1,,,0.1
2023-11-29 09:22:01,1.17.0,PRexp,25,3.85,2.0,1,Pellet,Left,3608,313,502,2,0.06,26.0,
2023-11-29 09:22:57,1.17.0,PRexp,25,3.85,,2,Left,Left,3609,313,502,2,,,0.37
2023-11-29 09:23:15,1.17.0,PRexp,25,3.85,,2,Left,Left,3610,313,502,2,,,0.34
2023-11-29 09:23:17,1.17.0,PRexp,25,3.85,1.0,2,Pellet,Left,3610,313,503,3,0.06,76.0,
2023-11-29 09:23:33,1.17.0,PRexp,25,3.85,,2,Left,Left,3611,313,503,3,,,0.05
2023-11-29 09:24:09,1.17.0,PRexp,25,3.85,,2,Left,Left,3612,313,503,3,,,0.04
2023-11-29 09:24:13,1.17.0,PRexp,25,3.85,2.0,2,Pellet,Left,3612,313,504,4,0.12,56.0,
2023-11-29 09:24:28,1.17.0,PRexp,25,3.85,,3,Left,Left,3613,313,504,4,,,0.26
2023-11-29 09:24:29,1.17.0,PRexp,25,3.85,,3,Left,Left,3614,313,504,4,,,0.0
2023-11-29 09:24:34,1.17.0,PRexp,25,3.85,,3,Left,Left,3615,313,504,4,,,0.55
2023-11-29 09:24:36,1.17.0,PRexp,25,3.85,1.0,3,Pellet,Left,3615,313,505,5,0.12,23.0,
2023-11-29 09:24:52,1.17.0,PRexp,25,3.85,,4,Left,Left,3616,313,505,5,,,0.09
2023-11-29 09:24:56,1.17.0,PRexp,25,3.85,,4,Left,Left,3617,313,505,5,,,0.2
2023-11-29 09:25:02,1.17.0,PRexp,25,3.85,,4,Left,Left,3618,313,505,5,,,0.61
2023-11-29 09:25:03,1.17.0,PRexp,25,3.85,,4,Left,Left,3619,313,505,5,,,0.16
2023-11-29 09:25:05,1.17.0,PRexp,25,3.85,,4,LeftDuringDispense,Left,3620,313,505,6,,,0.04
2023-11-29 09:25:08,1.17.0,PRexp,25,3.85,2.0,4,Pellet,Left,3620,313,506,6,0.06,32.0,
2023-11-29 09:25:22,1.17.0,PRexp,25,3.85,,5,Left,Left,3621,313,506,6,,,0.34
2023-11-29 09:25:24,1.17.0,PRexp,25,3.85,,5,Left,Left,3622,313,506,6,,,0.04
2023-11-29 09:25:30,1.17.0,PRexp,25,3.85,,5,Left,Left,3623,313,506,6,,,0.37
2023-11-29 09:25:33,1.17.0,PRexp,25,3.85,,5,Left,Left,3624,313,506,6,,,0.56
2023-11-29 09:25:34,1.17.0,PRexp,25,3.85,,5,Left,Left,3625,313,506,6,,,0.4
2023-11-29 09:25:37,1.17.0,PRexp,25,3.85,1.0,5,Pellet,Left,3625,313,507,7,0.24,29.0,
2023-11-29 09:27:40,1.17.0,PRexp,25,3.85,,6,Left,Left,3626,313,507,7,,,0.05
2023-11-29 09:27:42,1.17.0,PRexp,25,3.85,,6,Left,Left,3627,313,507,7,,,0.01
2023-11-29 09:27:45,1.17.0,PRexp,25,3.85,,6,Left,Left,3628,313,507,7,,,0.06
2023-11-29 09:27:46,1.17.0,PRexp,25,3.85,,6,Left,Left,3629,313,507,7,,,0.0
2023-11-29 09:27:50,1.17.0,PRexp,25,3.85,,6,Left,Left,3630,313,507,7,,,0.78
2023-11-29 09:39:14,1.17.0,PRexp,25,3.85,,6,Left,Left,3631,313,507,7,,,0.69
2023-11-29 09:39:16,1.17.0,PRexp,25,3.85,1.0,6,Pellet,Left,3631,313,508,8,0.12,819.0,
2023-11-29 09:39:40,1.17.0,PRexp,25,3.85,,7,Left,Left,3632,313,508,8,,,0.35
2023-11-29 09:39:41,1.17.0,PRexp,25,3.85,,7,Left,Left,3633,313,508,8,,,0.0
2023-11-29 09:39:44,1.17.0,PRexp,25,3.85,,7,Left,Left,3634,313,508,8,,,0.38
2023-11-29 09:39:52,1.17.0,PRexp,25,3.85,,7,Left,Left,3635,313,508,8,,,0.38
2023-11-29 09:39:54,1.17.0,PRexp,25,3.85,,7,Left,Left,3636,313,508,8,,,0.0
2023-11-29 09:39:55,1.17.0,PRexp,25,3.85,,7,Left,Left,3637,313,508,8,,,0.57
2023-11-29 09:40:00,1.17.0,PRexp,25,3.85,,7,Left,Left,3638,313,508,8,,,0.34
2023-11-29 09:40:02,1.17.0,PRexp,25,3.85,2.0,7,Pellet,Left,3638,313,509,9,0.06,46.0,
2023-11-29 09:44:37,1.17.0,PRexp,25,3.85,,9,Left,Left,3639,313,509,9,,,0.06
2023-11-29 09:44:40,1.17.0,PRexp,25,3.85,,9,Left,Left,3640,313,509,9,,,0.07
2023-11-29 09:44:43,1.17.0,PRexp,25,3.85,,9,Left,Left,3641,313,509,9,,,0.06
2023-11-29 09:44:46,1.17.0,PRexp,25,3.85,,9,Left,Left,3642,313,509,9,,,0.0
2023-11-29 09:44:49,1.17.0,PRexp,25,3.85,,9,Left,Left,3643,313,509,9,,,0.04
2023-11-29 09:45:54,1.17.0,PRexp,25,3.85,,9,Left,Left,3644,313,509,9,,,0.07
2023-11-29 09:51:44,1.17.0,PRexp,25,3.85,,9,Right,Left,3644,314,509,9,,,0.18
2023-11-29 09:53:12,1.17.0,PRexp,25,3.85,,9,Left,Left,3645,314,509,9,,,0.05
2023-11-29 09:53:13,1.17.0,PRexp,25,3.85,,9,Left,Left,3646,314,509,9,,,0.0
2023-11-29 10:06:53,1.17.0,PRexp,25,3.85,,9,Left,Left,3647,314,509,9,,,0.35
2023-11-29 10:06:58,1.17.0,PRexp,25,3.85,3.0,9,Pellet,Left,3647,314,510,10,0.30,1616.0,
2023-11-29 10:07:17,1.17.0,PRexp,25,3.85,,10,Left,Left,3648,314,510,10,,,0.0
2023-11-29 10:07:34,1.17.0,PRexp,25,3.85,,10,Left,Left,3649,314,510,10,,,0.05
2023-11-29 10:07:36,1.17.0,PRexp,25,3.85,,10,Left,Left,3650,314,510,10,,,0.39
2023-11-29 10:07:40,1.17.0,PRexp,25,3.85,,10,Left,Left,3651,314,510,10,,,0.5
2023-11-29 10:07:44,1.17.0,PRexp,25,3.85,,10,Left,Left,3652,314,510,10,,,0.35
2023-11-29 10:11:18,1.17.0,PRexp,25,3.85,,10,Left,Left,3653,314,510,10,,,0.11
2023-11-29 10:11:21,1.17.0,PRexp,25,3.85,,10,Left,Left,3654,314,510,10,,,0.44
2023-11-29 10:11:23,1.17.0,PRexp,25,3.85,,10,Left,Left,3655,314,510,10,,,0.13
2023-11-29 10:11:32,1.17.0,PRexp,25,3.85,,10,Left,Left,3656,314,510,10,,,0.47
2023-11-29 10:11:36,1.17.0,PRexp,25,3.85,,10,Left,Left,3657,314,510,10,,,0.1
2023-11-29 10:11:39,1.17.0,PRexp,25,3.85,2.0,10,Pellet,Left,3657,314,511,11,0.06,281.0,
2023-11-29 10:14:06,1.17.0,PRexp,25,3.85,,12,Right,Left,3657,315,511,11,,,0.22
2023-11-29 10:14:08,1.17.0,PRexp,25,3.85,,12,Right,Left,3657,316,511,11,,,0.0
2023-11-29 10:14:09,1.17.0,PRexp,25,3.85,,12,Left,Left,3658,316,511,11,,,0.08
2023-11-29 10:14:16,1.17.0,PRexp,25,3.85,,12,Left,Left,3659,316,511,11,,,0.1
2023-11-29 10:14:18,1.17.0,PRexp,25,3.85,,12,Left,Left,3660,316,511,11,,,0.23
2023-11-29 10:46:40,1.17.0,PRexp,25,3.85,,1,Left,Left,3661,316,511,0,,,0.27
2023-11-29 10:46:43,1.17.0,PRexp,25,3.85,2.0,1,Pellet,Left,3661,316,512,1,0.12,2104.0,
2023-11-29 10:46:56,1.17.0,PRexp,25,3.85,,1,Left,Left,3662,316,512,1,,,0.03
2023-11-29 10:46:58,1.17.0,PRexp,25,3.85,2.0,1,Pellet,Left,3662,316,513,2,0.06,15.0,
2023-11-29 10:47:15,1.17.0,PRexp,25,3.84,,2,Left,Left,3663,316,513,2,,,0.2
2023-11-29 10:47:20,1.17.0,PRexp,25,3.85,,2,Left,Left,3664,316,513,2,,,0.45
2023-11-29 10:47:22,1.17.0,PRexp,25,3.85,1.0,2,Pellet,Left,3664,316,514,3,0.18,24.0,
2023-11-29 10:48:08,1.17.0,PRexp,25,3.85,,2,Left,Left,3665,316,514,3,,,0.85
2023-11-29 10:48:10,1.17.0,PRexp,25,3.85,,2,Left,Left,3666,316,514,3,,,0.43
2023-11-29 10:48:13,1.17.0,PRexp,25,3.85,1.0,2,Pellet,Left,3666,316,515,4,0.18,50.0,
2023-11-29 10:48:26,1.17.0,PRexp,25,3.85,,3,Left,Left,3667,316,515,4,,,0.23
2023-11-29 10:48:27,1.17.0,PRexp,25,3.85,,3,Left,Left,3668,316,515,4,,,0.07
2023-11-29 10:48:29,1.17.0,PRexp,25,3.85,,3,Left,Left,3669,316,515,4,,,0.02
2023-11-29 10:48:31,1.17.0,PRexp,25,3.84,2.0,3,Pellet,Left,3669,316,516,5,0.06,19.0,
2023-11-29 11:00:08,1.17.0,PRexp,25,3.85,,4,Left,Left,3670,316,516,5,,,0.05
2023-11-29 11:00:10,1.17.0,PRexp,25,3.85,,4,Left,Left,3671,316,516,5,,,0.39
2023-11-29 11:00:11,1.17.0,PRexp,25,3.85,,4,Left,Left,3672,316,516,5,,,0.07
2023-11-29 11:00:13,1.17.0,PRexp,25,3.85,,4,Left,Left,3673,316,516,5,,,0.0
2023-11-29 11:00:26,1.17.0,PRexp,25,3.85,3.0,4,Pellet,Left,3673,316,517,6,8.74,715.0,
2023-11-29 11:01:05,1.17.0,PRexp,25,3.85,,5,Left,Left,3674,316,517,6,,,0.1
2023-11-29 11:01:06,1.17.0,PRexp,25,3.85,,5,Left,Left,3675,316,517,6,,,0.0
2023-11-29 11:01:13,1.17.0,PRexp,25,3.85,,5,Left,Left,3676,316,517,6,,,0.02
2023-11-29 11:01:21,1.17.0,PRexp,25,3.85,,5,Left,Left,3677,316,517,6,,,0.64
2023-11-29 11:01:26,1.17.0,PRexp,25,3.85,,5,Left,Left,3678,316,517,6,,,0.4
2023-11-29 11:01:28,1.17.0,PRexp,25,3.85,2.0,5,Pellet,Left,3678,316,518,7,0.06,62.0,
2023-11-29 11:01:59,1.17.0,PRexp,25,3.85,,6,Left,Left,3679,316,518,7,,,0.48
2023-11-29 11:02:01,1.17.0,PRexp,25,3.85,,6,Left,Left,3680,316,518,7,,,0.39
2023-11-29 11:02:02,1.17.0,PRexp,25,3.85,,6,Left,Left,3681,316,518,7,,,0.0
2023-11-29 11:02:08,1.17.0,PRexp,25,3.85,,6,Left,Left,3682,316,518,7,,,0.51
2023-11-29 11:02:10,1.17.0,PRexp,25,3.85,,6,Left,Left,3683,316,518,7,,,0.1
2023-11-29 11:29:34,1.17.0,PRexp,25,3.85,,6,Left,Left,3684,316,518,7,,,0.03
2023-11-29 11:29:36,1.17.0,PRexp,25,3.85,2.0,6,Pellet,Left,3684,316,519,8,0.06,1688.0,
2023-11-29 11:29:57,1.17.0,PRexp,25,3.85,,7,Left,Left,3685,316,519,8,,,0.35
2023-11-29 11:30:04,1.17.0,PRexp,25,3.85,,7,Left,Left,3686,316,519,8,,,1.06
2023-11-29 11:30:11,1.17.0,PRexp,25,3.85,,7,Left,Left,3687,316,519,8,,,0.11
2023-11-29 11:30:12,1.17.0,PRexp,25,3.84,,7,Left,Left,3688,316,519,8,,,0.0
2023-11-29 11:30:19,1.17.0,PRexp,25,3.85,,7,Left,Left,3689,316,519,8,,,1.73
2023-11-29 11:30:23,1.17.0,PRexp,25,3.85,,7,Left,Left,3690,316,519,8,,,0.69
2023-11-29 11:30:25,1.17.0,PRexp,25,3.85,,7,Left,Left,3691,316,519,8,,,0.4
2023-11-29 11:30:27,1.17.0,PRexp,25,3.85,1.0,7,Pellet,Left,3691,316,520,9,0.06,51.0,
2023-11-29 11:30:44,1.17.0,PRexp,25,3.85,,9,Left,Left,3692,316,520,9,,,0.05
2023-11-29 11:30:56,1.17.0,PRexp,25,3.85,,9,Left,Left,3693,316,520,9,,,0.0
2023-11-29 11:31:00,1.17.0,PRexp,25,3.85,,9,Left,Left,3694,316,520,9,,,2.06
2023-11-29 11:31:10,1.17.0,PRexp,25,3.85,,9,Left,Left,3695,316,520,9,,,1.03
2023-11-29 11:31:17,1.17.0,PRexp,25,3.85,,9,Left,Left,3696,316,520,9,,,0.39
2023-11-29 11:31:19,1.17.0,PRexp,25,3.85,,9,Left,Left,3697,316,520,9,,,0.0
2023-11-29 11:49:37,1.17.0,PRexp,25,3.85,,9,Left,Left,3698,316,520,9,,,0.06
2023-11-29 11:49:39,1.17.0,PRexp,25,3.85,,9,Left,Left,3699,316,520,9,,,0.27
2023-11-29 11:49:41,1.17.0,PRexp,25,3.85,,9,Left,Left,3700,316,520,9,,,0.12
2023-11-29 11:49:43,1.17.0,PRexp,25,3.85,2.0,9,Pellet,Left,3700,316,521,10,0.06,1156.0,
2023-11-29 11:50:01,1.17.0,PRexp,25,3.85,,10,Left,Left,3701,316,521,10,,,0.25
2023-11-29 11:50:03,1.17.0,PRexp,25,3.85,,10,Left,Left,3702,316,521,10,,,0.0
2023-11-29 11:50:05,1.17.0,PRexp,25,3.85,,10,Left,Left,3703,316,521,10,,,0.06
2023-11-29 11:50:09,1.17.0,PRexp,25,3.85,,10,Left,Left,3704,316,521,10,,,0.53
2023-11-29 11:50:20,1.17.0,PRexp,25,3.85,,10,Left,Left,3705,316,521,10,,,0.75
2023-11-29 11:50:22,1.17.0,PRexp,25,3.85,,10,Left,Left,3706,316,521,10,,,0.05
2023-11-29 11:50:23,1.17.0,PRexp,25,3.85,,10,Left,Left,3707,316,521,10,,,0.0
2023-11-29 11:50:26,1.17.0,PRexp,25,3.85,,10,Left,Left,3708,316,521,10,,,0.1
2023-11-29 11:50:30,1.17.0,PRexp,25,3.85,,10,Left,Left,3709,316,521,10,,,1.09
2023-11-29 11:50:31,1.17.0,PRexp,25,3.85,,10,Left,Left,3710,316,521,10,,,0.0
2023-11-29 11:50:43,1.17.0,PRexp,25,3.85,2.0,10,Pellet,Left,3710,316,522,11,7.56,60.0,
2023-11-29 11:56:37,1.17.0,PRexp,25,3.85,,12,Left,Left,3711,316,522,11,,,0.1
2023-11-29 12:01:15,1.17.0,PRexp,25,3.85,,12,Left,Left,3712,316,522,11,,,0.06
2023-11-29 12:01:17,1.17.0,PRexp,25,3.85,,12,Left,Left,3713,316,522,11,,,0.35
2023-11-29 12:01:20,1.17.0,PRexp,25,3.84,,12,Left,Left,3714,316,522,11,,,1.05
2023-11-29 12:01:23,1.17.0,PRexp,25,3.85,,12,Left,Left,3715,316,522,11,,,1.03
2023-11-29 12:01:30,1.17.0,PRexp,25,3.85,,12,Left,Left,3716,316,522,11,,,0.79
2023-11-29 12:01:31,1.17.0,PRexp,25,3.85,,12,Left,Left,3717,316,522,11,,,0.0
2023-11-29 12:01:36,1.17.0,PRexp,25,3.85,,12,Left,Left,3718,316,522,11,,,0.54
2023-11-29 12:01:42,1.17.0,PRexp,25,3.84,,12,Left,Left,3719,316,522,11,,,0.09
2023-11-29 12:01:44,1.17.0,PRexp,25,3.85,,12,Left,Left,3720,316,522,11,,,0.02
2023-11-29 12:01:48,1.17.0,PRexp,25,3.85,,12,Left,Left,3721,316,522,11,,,0.52
2023-11-29 12:05:05,1.17.0,PRexp,25,3.84,,12,Right,Left,3721,317,522,11,,,0.27
2023-11-29 12:05:55,1.17.0,PRexp,25,3.85,,12,Left,Left,3722,317,522,11,,,0.31
2023-11-29 12:05:57,1.17.0,PRexp,25,3.85,2.0,12,Pellet,Left,3722,317,523,12,0.06,914.0,
2023-11-29 12:07:20,1.17.0,PRexp,25,3.85,,13,Left,Left,3723,317,523,12,,,0.13
2023-11-29 12:07:22,1.17.0,PRexp,25,3.85,,13,Left,Left,3724,317,523,12,,,0.04
2023-11-29 12:07:25,1.17.0,PRexp,25,3.85,,13,Left,Left,3725,317,523,12,,,0.02
2023-11-29 12:07:28,1.17.0,PRexp,25,3.85,,13,Left,Left,3726,317,523,12,,,0.01
2023-11-29 12:10:14,1.17.0,PRexp,25,3.85,,13,Right,Left,3726,318,523,12,,,0.24
2023-11-29 12:10:16,1.17.0,PRexp,25,3.85,,13,Left,Left,3727,318,523,12,,,0.03
2023-11-29 12:10:22,1.17.0,PRexp,25,3.85,,13,Left,Left,3728,318,523,12,,,0.01
2023-11-29 12:10:28,1.17.0,PRexp,25,3.85,,13,Left,Left,3729,318,523,12,,,0.0
2023-11-29 12:10:31,1.17.0,PRexp,25,3.85,,13,Left,Left,3730,318,523,12,,,0.06
2023-11-29 12:10:37,1.17.0,PRexp,25,3.85,,13,Left,Left,3731,318,523,12,,,0.12
2023-11-29 12:10:47,1.17.0,PRexp,25,3.85,,13,Left,Left,3732,318,523,12,,,0.02
2023-11-29 12:13:13,1.17.0,PRexp,25,3.85,,13,Left,Left,3733,318,523,12,,,0.73
2023-11-29 12:13:15,1.17.0,PRexp,25,3.85,,13,Left,Left,3734,318,523,12,,,0.07
2023-11-29 12:13:21,1.17.0,PRexp,25,3.85,,13,Left,Left,3735,318,523,12,,,0.33
2023-11-29 12:13:23,1.17.0,PRexp,25,3.85,1.0,13,Pellet,Left,3735,318,524,13,0.73,446.0,
2023-11-29 12:13:49,1.17.0,PRexp,25,3.85,,15,Right,Left,3735,319,524,13,,,0.0
2023-11-29 12:15:37,1.17.0,PRexp,25,3.85,,15,Left,Left,3736,319,524,13,,,0.02
2023-11-29 12:15:40,1.17.0,PRexp,25,3.85,,15,Left,Left,3737,319,524,13,,,0.49
2023-11-29 12:16:05,1.17.0,PRexp,25,3.85,,15,Left,Left,3738,319,524,13,,,0.06
2023-11-29 12:25:23,1.17.0,PRexp,25,3.85,,15,Left,Left,3739,319,524,13,,,0.04
2023-11-29 12:30:02,1.17.0,PRexp,25,3.84,,15,Left,Left,3740,319,524,13,,,0.09
2023-11-29 12:30:10,1.17.0,PRexp,25,3.85,,15,Left,Left,3741,319,524,13,,,0.59
2023-11-29 12:33:41,1.17.0,PRexp,25,3.84,,15,Left,Left,3742,319,524,13,,,0.05
2023-11-29 12:33:48,1.17.0,PRexp,25,3.85,,15,Left,Left,3743,319,524,13,,,0.04
2023-11-29 12:33:53,1.17.0,PRexp,25,3.85,,15,Left,Left,3744,319,524,13,,,0.04
2023-11-29 12:33:55,1.17.0,PRexp,25,3.85,,15,Left,Left,3745,319,524,13,,,0.02
2023-11-29 12:34:09,1.17.0,PRexp,25,3.85,,15,Left,Left,3746,319,524,13,,,0.07
2023-11-29 12:36:46,1.17.0,PRexp,25,3.85,,15,Left,Left,3747,319,524,13,,,0.05
2023-11-29 12:41:09,1.17.0,PRexp,25,3.85,,15,Left,Left,3748,319,524,13,,,0.25
2023-11-29 12:42:56,1.17.0,PRexp,25,3.84,,15,Right,Left,3748,320,524,13,,,0.33
2023-11-29 12:44:41,1.17.0,PRexp,25,3.85,,15,Left,Left,3749,320,524,13,,,0.16
2023-11-29 12:48:02,1.17.0,PRexp,25,3.85,,15,Right,Left,3749,321,524,13,,,0.34
2023-11-29 12:48:09,1.17.0,PRexp,25,3.85,,15,Right,Left,3749,322,524,13,,,0.0
2023-11-29 12:48:23,1.17.0,PRexp,25,3.85,,15,Left,Left,3750,322,524,13,,,0.02
2023-11-29 12:48:26,1.17.0,PRexp,25,3.85,1.0,15,Pellet,Left,3750,322,525,14,0.06,2103.0,
2023-11-29 12:50:13,1.17.0,PRexp,25,3.85,,17,Left,Left,3751,322,525,14,,,0.07
2023-11-29 12:50:17,1.17.0,PRexp,25,3.85,,17,Left,Left,3752,322,525,14,,,0.45
2023-11-29 12:50:21,1.17.0,PRexp,25,3.85,,17,Left,Left,3753,322,525,14,,,0.13
2023-11-29 12:55:19,1.17.0,PRexp,25,3.85,,17,Left,Left,3754,322,525,14,,,0.6
2023-11-29 12:55:26,1.17.0,PRexp,25,3.84,,17,Left,Left,3755,322,525,14,,,0.0
2023-11-29 12:55:29,1.17.0,PRexp,25,3.85,,17,Left,Left,3756,322,525,14,,,0.36
2023-11-29 12:55:31,1.17.0,PRexp,25,3.85,,17,Left,Left,3757,322,525,14,,,0.57
2023-11-29 12:55:34,1.17.0,PRexp,25,3.85,,17,Left,Left,3758,322,525,14,,,0.11
2023-11-29 12:55:37,1.17.0,PRexp,25,3.85,,17,Left,Left,3759,322,525,14,,,0.04
2023-11-29 12:57:51,1.17.0,PRexp,25,3.85,,17,Left,Left,3760,322,525,14,,,0.05
2023-11-29 12:57:52,1.17.0,PRexp,25,3.84,,17,Left,Left,3761,322,525,14,,,0.03
2023-11-29 12:57:57,1.17.0,PRexp,25,3.85,,17,Left,Left,3762,322,525,14,,,0.42
2023-11-29 12:58:05,1.17.0,PRexp,25,3.85,,17,Left,Left,3763,322,525,14,,,0.15
2023-11-29 12:58:14,1.17.0,PRexp,25,3.85,,17,Left,Left,3764,322,525,14,,,0.05
2023-11-29 12:59:32,1.17.0,PRexp,25,3.85,,17,Left,Left,3765,322,525,14,,,0.03
2023-11-29 13:06:51,1.17.0,PRexp,25,3.84,,17,Left,Left,3766,322,525,14,,,0.05
